,State,County,GroceryStores,SupercentersClubStores,ConvenienceStores,SpecializedFoodStores,FastFoodRestaurants,FullServiceRestaurants
2065,OH,Fairfield,16,5,42,7,82,70
2066,OH,Fayette,9,1,16,4,33,16
2067,OH,Franklin,237,16,417,85,1049,710
2068,OH,Fulton,6,1,19,4,25,28
2069,OH,Gallia,6,1,21,3,25,8
2070,OH,Geauga,9,2,34,8,56,67
2071,OH,Greene,23,4,47,8,124,100
2072,OH,Guernsey,11,2,23,0,36,20
2073,OH,Hamilton,160,13,333,84,610,610
2074,OH,Hancock,11,3,31,4,59,62
2075,OH,Hardin,4,1,18,1,18,13
2076,OH,Harrison,6,0,8,0,9,11
2077,OH,Henry,5,1,13,2,15,19
2078,OH,Highland,6,2,31,1,27,17
2079,OH,Hocking,7,1,11,3,12,18
2080,OH,Holmes,9,1,14,5,12,16
2081,OH,Huron,15,1,27,4,51,23
2082,OH,Jackson,9,1,16,1,22,17
2083,OH,Jefferson,22,1,33,4,47,49
2084,OH,Knox,12,1,19,5,33,32
2085,OH,Lake,38,5,97,16,203,181
2086,OH,Lawrence,11,2,25,2,38,20
2087,OH,Licking,24,3,53,8,122,76
2088,OH,Logan,15,1,15,2,36,26
2089,OH,Lorain,53,6,113,12,208,161
2090,OH,Lucas,70,10,238,36,350,343
2091,OH,Madison,6,1,14,3,24,16
2092,OH,Mahoning,55,1,99,15,173,170
2093,OH,Marion,12,2,22,3,46,26
2094,OH,Medina,21,2,63,7,99,91
2095,OH,Meigs,3,0,15,0,14,7
2096,OH,Mercer,7,1,21,5,25,31
2097,OH,Miami,10,3,39,3,78,54
2098,OH,Monroe,2,0,13,2,6,6
2099,OH,Montgomery,80,10,218,35,436,314
2100,OH,Morgan,2,0,7,0,2,9
2101,OH,Morrow,7,0,12,0,13,9
2102,OH,Muskingum,15,3,46,7,73,44
2103,OH,Noble,4,0,6,0,9,6
2104,OH,Ottawa,11,1,23,6,36,53
2105,OH,Paulding,5,0,7,1,11,8
2106,OH,Perry,8,0,15,0,17,13
2107,OH,Pickaway,9,1,30,3,28,17
2108,OH,Pike,3,1,23,0,19,15
2109,OH,Portage,20,2,55,5,113,74
2110,OH,Preble,4,1,13,0,23,21
2111,OH,Putnam,7,1,16,5,21,20
2112,OH,Richland,23,4,46,12,100,80
2113,OH,Ross,14,3,34,2,57,35
2114,OH,Sandusky,11,2,28,3,42,31
2115,OH,Scioto,13,1,45,0,60,40
2116,OH,Seneca,12,1,28,0,24,33
2117,OH,Shelby,9,1,27,4,26,28
2118,OH,Stark,64,6,135,29,294,256
2119,OH,Summit,87,3,189,31,444,335
2120,OH,Trumbull,43,3,90,14,161,133
2121,OH,Tuscarawas,13,1,32,10,80,66
2122,OH,Union,6,1,17,4,27,28
2123,OH,Van Wert,6,1,14,0,17,16
2124,OH,Vinton,1,0,9,0,5,0
2125,OH,Warren,29,5,63,10,118,106
2126,OH,Washington,15,1,37,4,47,33
2127,OH,Wayne,24,1,35,9,55,69
2128,OH,Williams,6,1,24,0,25,17
2129,OH,Wood,21,4,45,8,99,91
2130,OH,Wyandot,9,1,12,0,15,17
2131,OK,Adair,6,1,12,0,8,8
2132,OK,Alfalfa,2,0,4,0,1,4
2133,OK,Atoka,4,0,10,1,6,10
2134,OK,Beaver,1,0,6,0,0,5
2135,OK,Beckham,5,0,20,0,16,24
2136,OK,Blaine,5,0,13,0,5,10
2137,OK,Bryan,5,1,27,0,26,23
2138,OK,Caddo,6,1,24,0,11,13
2139,OK,Canadian,16,3,35,1,61,55
2140,OK,Carter,8,1,39,4,31,31
2141,OK,Cherokee,6,1,29,1,28,24
2142,OK,Choctaw,1,1,11,0,10,14
2143,OK,Cimarron,1,0,2,0,3,3
2144,OK,Cleveland,43,5,86,8,171,158
2145,OK,Coal,3,0,3,0,1,3
2146,OK,Comanche,8,3,53,4,75,61
2147,OK,Cotton,2,0,5,0,2,3
2148,OK,Craig,3,1,9,0,5,12
2149,OK,Creek,7,2,37,2,34,39
2150,OK,Custer,6,0,18,1,19,29
2151,OK,Delaware,3,1,28,0,12,29
2152,OK,Dewey,1,0,10,0,1,4
2153,OK,Ellis,3,0,5,0,0,5
2154,OK,Garfield,11,1,41,3,41,36
2155,OK,Garvin,10,1,19,0,16,19
2156,OK,Grady,5,1,37,0,21,25
